step,vehicleID,TimeLoss,AccumulatedWaitingTime
30,0,17.75425584136728,12.0
30,10,8.158071320020001,0.0
30,11,8.011814590454602,1.0
30,15,4.238299953469143,0.0
30,16,2.782356867261421,0.0
30,17,4.3533850507593295,0.0
30,19,2.6621554808854473,0.0
30,20,3.277960416558333,0.0
30,23,2.657960449197701,0.0
30,24,3.4410640187528365,0.0
30,26,3.401826956381461,0.0
30,27,2.7407396514185876,0.0
30,32,0.9006345949328107,0.0
30,33,0.0,0.0
30,4,13.209456095418355,6.0
60,0,47.75425584136728,42.0
60,10,38.1531222496468,30.0
60,11,38.011004656835645,31.0
60,15,33.40125253570843,27.0
60,16,29.3796775546601,25.0
60,19,28.454439103723708,23.0
60,20,28.16005774544203,22.0
60,23,23.85181163554052,18.0
60,24,26.5940597830999,20.0
60,26,23.352149016815,18.0
60,27,23.634872892400608,17.0
60,32,20.31217006914845,13.0
60,33,17.892083370803775,13.0
60,37,13.742347921746017,8.0
60,4,43.20945609541835,36.0
60,44,6.211740246810371,0.0
60,46,4.761751829651584,0.0
60,47,5.807281082043283,0.0
60,50,3.2189158414750216,0.0
60,52,3.119759905478347,0.0
60,58,3.021306787452339,0.0
60,59,2.5314153731534543,0.0
60,60,2.5872347380911154,0.0
60,61,2.0730410675631177,0.0
60,63,2.0388092802440365,0.0
60,64,1.5644619737324232,0.0
90,0,77.75425584136728,72.0
90,10,68.1531222496468,60.0
90,100,0.0,0.0
90,11,68.01100465683564,61.0
90,15,63.40125253570843,57.0
90,16,59.3796775546601,55.0
90,19,58.45443910372371,53.0
90,20,58.16004979217263,52.0
90,23,53.85181163554052,48.0
90,24,56.5940597830999,50.0
90,26,53.352149016815005,48.0
90,27,53.63487289240061,47.0
90,32,37.48926098840418,23.0
90,33,47.892083370803775,43.0
90,37,43.74234792174602,38.0
90,4,57.863783925260215,44.0
90,44,36.21150739399408,30.0
90,46,34.71175621933629,28.0
90,47,35.79253309355959,29.0
90,50,31.250283427216356,25.0
90,52,30.150576593919958,23.0
90,58,23.686679179362077,17.0
90,59,23.836825017214935,19.0
90,60,20.933441032582763,16.0
90,61,19.36210628673437,14.0
90,63,19.436489140013073,13.0
90,64,4.891161931825768,0.0
90,66,5.686009727098211,0.0
90,68,15.221708429266329,9.0
90,84,4.397076067907821,0.0
90,92,2.7630527764220245,0.0
120,0,107.75425584136728,100.0
120,10,98.1531222496468,90.0
120,100,19.75817790632818,12.0
120,103,4.641784182239636,0.0
120,105,4.614806189605279,0.0
120,107,13.284534619832423,8.0
120,109,9.224222535360774,3.0
120,113,3.7426345271214037,0.0
120,117,3.845637009218727,0.0
120,119,2.8651976277921873,0.0
120,120,3.926470240693374,0.0
120,121,3.0372991899564283,0.0
120,123,4.238098465461652,0.0
120,125,2.9762661069392338,0.0
120,126,3.53734523203833,0.0
120,127,2.6371408682860036,0.0
120,129,2.253632338055456,0.0
120,131,1.535771348200984,0.0
120,132,0.8128647848905495,0.0
120,15,93.40125253570844,87.0
120,16,89.3796775546601,85.0
120,19,88.4544391037237,83.0
120,20,88.16004979217263,82.0
120,23,83.85181163554051,78.0
120,24,86.59405978309991,80.0
120,26,69.52743390540175,56.0
120,27,83.63487289240061,77.0
120,33,77.89208337080377,73.0
120,37,73.74234792174602,68.0
120,4,87.86378392526021,74.0
120,44,66.21150739399408,60.0
120,46,64.71175621933628,58.0
120,47,65.7925330935596,59.0
120,50,61.25028342721636,55.0
120,52,60.15057659391996,53.0
120,58,53.68667917936207,47.0
120,59,53.836825017214935,49.0
120,60,50.93344103258276,46.0
120,61,49.362106286734374,44.0
120,63,49.43648914001307,43.0
120,66,35.674136361363814,29.0
120,68,45.22170842926633,39.0
120,84,34.07160690041036,28.0
120,92,5.125693010948081,0.0
150,0,137.7542558413673,100.0
150,10,128.1531222496468,100.0
150,100,49.75817790632818,42.0
150,103,30.148887997737397,23.0
150,105,26.60759414283931,19.0
150,107,43.28453461983242,38.0
150,109,39.22417750280565,33.0
150,119,31.25887585173824,26.0
150,120,31.008734869038516,23.0
150,121,29.012662364737572,23.0
150,125,12.05103947087115,4.0
150,126,24.609998647383698,19.0
150,127,22.871954772370444,17.0
150,129,4.78914619611019,0.0
150,131,4.326441429380038,0.0
150,132,16.961674536306255,13.0
150,134,20.66712540999356,14.0
150,135,4.68343130474876,0.0
150,139,12.64714733924397,5.0
150,140,11.060916452118375,4.0
150,145,8.13721725808304,2.0
150,148,4.101556655232668,0.0
150,15,123.40125253570844,100.0
150,150,5.007147796812644,0.0
150,151,3.2461635332162784,0.0
150,156,3.009837504907576,0.0
150,16,119.3796775546601,100.0
150,160,3.7807939332206035,0.0
150,162,2.848777976704153,0.0
150,163,2.184250859259134,0.0
150,165,0.8128067302266613,0.0
150,19,118.4544391037237,100.0
150,20,118.16004979217263,100.0
150,23,113.85181163554051,100.0
150,24,116.59405978309991,100.0
150,26,99.52743390540175,78.0
150,27,113.63487289240061,100.0
150,33,107.89208337080377,100.0
