0,9863
1,7087
2,5596
3,6743
4,7685
5,6446
6,8797
7,6563
8,6847
9,6251
10,5737
11,5476
12,5081
13,4260
14,4392
15,3942
16,3868
17,3180
18,3415
19,3336
20,3372
21,3209
22,3170
23,3213
24,2784
25,2951
26,3171
27,2867
28,3064
29,3124
30,2973
31,3304
32,3118
33,3107
34,2739
35,2668
36,2965
37,3341
38,3058
39,2855
40,2779
41,2844
42,2766
43,2958
44,2748
45,3239
46,3073
47,2848
48,3153
49,2964
50,2596
51,2916
52,2915
53,3024
54,2973
55,2856
56,3060
57,2937
58,2889
59,2713
60,2824
61,3018
62,2775
63,2956
0,7756
1,6137
2,5230
3,4196
4,4968
5,4076
6,3686
7,4144
8,3955
9,3732
10,3740
11,3559
12,3962
13,4021
14,3580
15,3266
16,2815
17,3703
18,3065
19,2821
20,3080
21,2879
22,2940
23,3023
24,2940
25,2863
26,2796
27,2487
28,3021
29,3090
